业务融合	業務融合
业务表现	業務表現
业务要求	業務要求
业务覆盖	業務覆蓋
业务覆盖范围	業務覆蓋範圍
业务规划	業務規劃
业务规则	業務規則
业务规模	業務規模
业务规范	業務規範
业务解决方案	業務解決方案
业务触角	業務觸角
业务计划	業務計劃
业务订单	業務訂單
业务训练	業務訓練
业务许可	業務許可
业务设计	業務設計
业务访问	業務訪問
业务诉求	業務訴求
业务试点	業務試點
业务课	業務課
业务课一	業務課一
业务课二	業務課二
业务调整	業務調整
业务谈判	業務談判
业务负责人	業務負責人
业务财务	業務財務
业务质量	業務質量
业务费	業務費
业务费用	業務費用
业务资产	業務資產
业务资料	業務資料
业务资格	業務資格
业务资源	業務資源
业务资质	業務資質
业务资金	業務資金
业务赋能	業務賦能
业务跟单	業務跟單
业务跟单员	業務跟單員
业务转向	業務轉向
业务转型	業務轉型
业务转型升级	業務轉型升級
业务转移	業務轉移
业务软件	業務軟件
业务辅导	業務輔導
业务辐射	業務輻射
业务边界	業務邊界
业务迁移	業務遷移
业务过失	業務過失
业务过硬	業務過硬
业务过程	業務過程
业务运作	業務運作
业务运营	業務運營
业务运行	業務運行
业务运转	業務運轉
业务进展	業務進展
业务进度	業務進度
业务违规	業務違規
业务连续	業務連續
业务连续性	業務連續性
业务连续性管理	業務連續性管理
业务选择	業務選擇
业务通	業務通
业务逻辑	業務邏輯
业务逻辑层	業務邏輯層
业务遍及	業務遍及
业务遍及全球	業務遍及全球
业务遍布全球	業務遍佈全球
业务邮箱	業務郵箱
业务部	業務部
业务部总经理	業務部總經理
业务部经理	業務部經理
业务部署	業務部署
业务部门	業務部門
业务部门负责人	業務部門負責人
业务重心	業務重心
业务重点	業務重點
业务重组	業務重組
业务量	業務量
业务量增速	業務量增速
业务量增长	業務量增長
业务量大	業務量大
业务量控制	業務量控制
业务量管理	業務量管理
业务金额	業務金額
业务链	業務鏈
业务链条	業務鏈條
业务销售	業務銷售
业务闭环	業務閉環
业务问题	業務問題
业务限制	業務限制
业务院长	業務院長
业务集中	業務集中
业务集成	業務集成
业务需求	業務需求
业务面	業務面
业务项目	業務項目
业务须知	業務須知
业务顾问	業務顧問
业务预约	業務預約
业务领域	業務領域
业务领导	業務領導
业务额	業務額
业务风险	業務風險
业务驱动	業務驅動
业务骨干	業務骨幹
业务骨干培训	業務骨幹培訓
业务高峰	業務高峰
业协会	業協會
业发展	業發展
业园区	業園區
业外	業外
业外人士	業外人士
业大	業大
业头	業頭
业委会	業委會
业委会主任	業委會主任
业委会委员	業委會委員
业委会成员	業委會成員
